role_title,description,required_skills,average_salary,growth_rate,related_roles
Machine Learning Engineer,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",1800000,28%,"Data Scientist,AI Engineer"
Data Scientist,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1500000,22%,"ML Engineer,Data Analyst"
NLP Engineer,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1700000,30%,"ML Engineer,AI Researcher"
Full Stack Developer,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1400000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1600000,25%,"Cloud Engineer,SRE"
Cloud Engineer,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1650000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",1750000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1550000,20%,"Security Engineer,Security Consultant"
Data Engineer,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1700000,27%,"Analytics Engineer,ML Engineer"
Product Analyst,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1450000,19%,"Data Analyst,Product Manager"
Machine Learning Engineer 2,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",1850000,28%,"Data Scientist,AI Engineer"
Data Scientist 2,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1550000,22%,"ML Engineer,Data Analyst"
NLP Engineer 2,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1750000,30%,"ML Engineer,AI Researcher"
Full Stack Developer 2,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1450000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer 2,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1650000,25%,"Cloud Engineer,SRE"
Cloud Engineer 2,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1700000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer 2,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",1800000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst 2,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1600000,20%,"Security Engineer,Security Consultant"
Data Engineer 2,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1750000,27%,"Analytics Engineer,ML Engineer"
Product Analyst 2,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1500000,19%,"Data Analyst,Product Manager"
Machine Learning Engineer 3,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",1900000,28%,"Data Scientist,AI Engineer"
Data Scientist 3,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1600000,22%,"ML Engineer,Data Analyst"
NLP Engineer 3,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1800000,30%,"ML Engineer,AI Researcher"
Full Stack Developer 3,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1500000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer 3,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1700000,25%,"Cloud Engineer,SRE"
Cloud Engineer 3,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1750000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer 3,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",1850000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst 3,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1650000,20%,"Security Engineer,Security Consultant"
Data Engineer 3,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1800000,27%,"Analytics Engineer,ML Engineer"
Product Analyst 3,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1550000,19%,"Data Analyst,Product Manager"
Machine Learning Engineer 4,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",1950000,28%,"Data Scientist,AI Engineer"
Data Scientist 4,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1650000,22%,"ML Engineer,Data Analyst"
NLP Engineer 4,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1850000,30%,"ML Engineer,AI Researcher"
Full Stack Developer 4,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1550000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer 4,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1750000,25%,"Cloud Engineer,SRE"
Cloud Engineer 4,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1800000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer 4,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",1900000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst 4,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1700000,20%,"Security Engineer,Security Consultant"
Data Engineer 4,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1850000,27%,"Analytics Engineer,ML Engineer"
Product Analyst 4,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1600000,19%,"Data Analyst,Product Manager"
Machine Learning Engineer 5,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",2000000,28%,"Data Scientist,AI Engineer"
Data Scientist 5,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1700000,22%,"ML Engineer,Data Analyst"
NLP Engineer 5,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1900000,30%,"ML Engineer,AI Researcher"
Full Stack Developer 5,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1600000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer 5,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1800000,25%,"Cloud Engineer,SRE"
Cloud Engineer 5,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1850000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer 5,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",1950000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst 5,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1750000,20%,"Security Engineer,Security Consultant"
Data Engineer 5,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1900000,27%,"Analytics Engineer,ML Engineer"
Product Analyst 5,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1650000,19%,"Data Analyst,Product Manager"
Machine Learning Engineer 6,Designs and deploys machine learning systems in production.,"Python, TensorFlow, PyTorch, MLOps, Docker, SQL",2050000,28%,"Data Scientist,AI Engineer"
Data Scientist 6,Analyses structured and unstructured data to drive decisions.,"Python, SQL, Statistics, pandas, Visualization",1750000,22%,"ML Engineer,Data Analyst"
NLP Engineer 6,Builds language understanding and generation pipelines.,"Python, spaCy, Transformers, BERT, PyTorch",1950000,30%,"ML Engineer,AI Researcher"
Full Stack Developer 6,Builds end-to-end applications from UI to backend services.,"JavaScript, React, Python, REST APIs, SQL",1650000,18%,"Backend Developer,Frontend Developer"
DevOps Engineer 6,"Automates deployment, scaling, and infrastructure management.","Docker, Kubernetes, Linux, CI/CD, AWS",1850000,25%,"Cloud Engineer,SRE"
Cloud Engineer 6,Designs cloud infrastructure and secure deployment pipelines.,"AWS, Azure, Terraform, Linux, Docker",1900000,24%,"DevOps Engineer,Platform Engineer"
Computer Vision Engineer 6,Develops models for image and video understanding.,"Python, OpenCV, CNN, PyTorch, Image Processing",2000000,26%,"ML Engineer,Research Scientist"
Cybersecurity Analyst 6,Protects systems through monitoring and secure design.,"Network Security, IAM, Threat Modeling, Secure Coding, Linux",1800000,20%,"Security Engineer,Security Consultant"
Data Engineer 6,Builds reliable pipelines and data platforms.,"SQL, Python, ETL, Airflow, Data Warehousing",1950000,27%,"Analytics Engineer,ML Engineer"
Product Analyst 6,Translates product data into actionable insights.,"SQL, A/B Testing, Visualization, Statistics, Communication",1700000,19%,"Data Analyst,Product Manager"
